date_found,company,title,location,area_group,visa_bucket,fit_score,link,application_status,visa_reason,work_model,date_posted,job_id
2026-09-17,Jacobs,Mechanical Engineering Intern - Summer 2027,"New York, NY",Northeast,A - Likely OK,78,https://jobright.ai/jobs/info/6a992f2cf6de551aa0aae90d,,Description mentions 'h1b',Hybrid,2026-09-16,6a992f2cf6de551aa0aae90d
2026-09-17,Jacobs,Mechanical Engineering Intern - Summer 2027,"Conshohocken, PA",Northeast,A - Likely OK,78,https://jobright.ai/jobs/info/6aa410978275e3a21175ebb6,,Description read; nothing rules out international students,Hybrid,2026-09-16,6aa410978275e3a21175ebb6
2026-09-17,Brindley Engineering Corporation,Mechanical Engineer Intern,"Lisle, IL",Midwest,A - Likely OK,74,https://jobright.ai/jobs/info/6aa9c8ac28e24cb38513c3b7,,Description mentions 'h1b',On Site,2026-09-16,6aa9c8ac28e24cb38513c3b7
2026-09-17,Burns & McDonnell,"Structural Engineering Intern - Global Facilities, Aerospace & Industrial (Melbourne, FL)","Melbourne, FL",Southeast,B - Unclear,66,https://jobright.ai/jobs/info/6aab1e008e1bf0f764af89ca,,No job description available - visa status not stated,On Site,2026-09-16,6aab1e008e1bf0f764af89ca
2026-09-17,"MPR Associates, Inc.",Summer/Co-op Engineer,"Alexandria, VA",Southeast,A - Likely OK,60,https://jobright.ai/jobs/info/6a738ba28dc3d52d8eda012b,,Description mentions 'h1b',On Site,2026-09-16,6a738ba28dc3d52d8eda012b
2026-09-17,Schreiber Foods,Operational Excellence Engineering Intern (Summer 2027),"Logan, UT",West,A - Likely OK,60,https://jobright.ai/jobs/info/6aaae4544be87a72913a1fc1,,Description mentions 'h1b',On Site,2026-09-16,6aaae4544be87a72913a1fc1
2026-09-17,Canyon AeroConnect,Test Engineering Intern,"Prescott, AZ",Southwest,B - Unclear,56,https://jobright.ai/jobs/info/6aab1dd2c85610f4a4843b59,,No job description available - visa status not stated,On Site,2026-09-16,6aab1dd2c85610f4a4843b59
2026-09-17,Emerson,Mechanical Engineering Co-op (Summer 2027),"Elyria, OH",Midwest,B - Unclear,56,https://jobright.ai/jobs/info/6aab025ef6bd9d2d17c1ae68,,No job description available - visa status not stated,On Site,2026-09-16,6aab025ef6bd9d2d17c1ae68
2026-09-17,Jacobs,Mechanical Engineering Intern - ELE- Summer 2027,"Pittsburgh, PA",Northeast,B - Unclear,56,https://jobright.ai/jobs/info/6aab1ab740807b73bd393e87,,No job description available - visa status not stated,On Site,2026-09-16,6aab1ab740807b73bd393e87
2026-09-17,Keytronic,Manufacturing Engineering Internship,"Spokane, WA",West,B - Unclear,56,https://jobright.ai/jobs/info/6aab1bd840807b73bd393f27,,No job description available - visa status not stated,On Site,2026-09-16,6aab1bd840807b73bd393f27
2026-09-17,Teleflex,"R&D Engineering Intern, Interventional","Maple Grove, MN",Midwest,B - Unclear,56,https://jobright.ai/jobs/info/6aaaff3840807b73bd393337,,No job description available - visa status not stated,On Site,2026-09-16,6aaaff3840807b73bd393337
2026-09-17,Tesla,"Internship, Electronic Design Engineer, Energy Engineering (Winter/Spring 2027)","Palo Alto, CA",West,B - Unclear,56,https://jobright.ai/jobs/info/6aab1eeb8e1bf0f764af89f8,,No job description available - visa status not stated,On Site,2026-09-16,6aab1eeb8e1bf0f764af89f8
